Ailment,Description from Wikipedia,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3673028/,,,,How/Why Cannabis works
Leukemia,https://en.wikipedia.org/wiki/Leukemia,,,,,,,http://medicalmarijuanainc.com/leukemia-medical-marijuana-research/#sthash.QLlHRvRr.dpuf,"Evidence suggests that cannabis shows potential as a viable treatment option for leukemia. One of the major cannabinoids found in cannabis, tetrahydrocannabinol (THC), has been shown to induce apoptosis, or death, of leukemia cells (Powles, et al., 2005) (Murison, et al., 1987) (Scott, Shah, Dalgleish & Liu, 2013). Another major cannabinoid, cannabidiol (CBD), has also been shown to significantly decrease tumor burden and increase the death of cancerous leukemia cells (Gallily, et al., 2003) (McKallip, et al., 2006) (Scott, Shah, Dalgleish & Liu, 2013). Evidence has shown that a greater dose of cannabis is associated with a greater apoptosis response (Gallily, et al., 2003). One study found that combining THC treatment with additional established cytotoxic agents could further enhance leukemia cancer cell death (Liu, et al., 2008). These findings have caused researchers to conclude that cannabis “may be a novel and highly selective treatment for leukemia” (McKallip, et al., 2006). "
Liver Disease,https://en.wikipedia.org/wiki/Liver_disease,,,,,,,http://medicalmarijuanainc.com/cirrhosis-medical-marijuana-research/#sthash.ZE43JVlH.dpuf,"Research regarding cannabis and its potential impact on cirrhosis and other chronic liver diseases is complex. The two major cannabinoids found in cannabis, tetrahydrocannabinol (THC) and cannabidiol (CBD) bind with or influence the cannabinoid receptors (CB1 and CB2) of the endocannabinoid system within the body. Previous studies had actually implicated action of CB1 in the progression of cirrhosis, fibrosis, and other liver diseases. However, CB2 receptor activation has shown beneficial effects on alcoholic fatty liver, hepatic inflammation, liver injury, regeneration and fibrosis and CBD has. Therefore, research suggests that using cannabis to selectively activate the CB2 receptor offers therapeutic potential for cirrhosis and other liver diseases (Mallat, et al., 2011). Studies suggest that CBD can help combat cirrhosis progression by assisting in the death of hepatic stellate cells (HSCs). When HSCs are activated, they proliferate and produce excess collagen, which causes the accumulation of scarring on the liver. CBD’s activation of the CB2 receptors, however, has been shown to be effective at inducing apoptosis (death) in these activated HSCs (Lim, Devi & Rozenfeld, 2011). Cannabidiol has also been shown to restore liver function in mice experiencing liver failure (Abraham, et al., 2011). Findings also support that CBD can serve as a protective strategy against ischemia reperfusion, the pivotal mechanism of tissue damage in cirrhosis, by reducing the force of key inflammatory pathways and oxidative/nitrative tissue injury. These effects of CBD are independent of their impact on the CB2 receptors (Mukhopadhyay, Rajesh & Pacher, 2011). CBD has also proven effective at protecting the liver from steatosis caused by alcohol drinking by preventing an increase in oxidative stress and the autophagy induced by alcohol, thus protecting the liver from progressive damage (Yang, et al., 2014). "
Lung Cancer,https://en.wikipedia.org/wiki/Lung_cancer,,,,,,,http://www.sciencedirect.com/science/article/pii/S0006295214004201,"Cannabinoids have been shown to promote the expression of the intercellular adhesion molecule 1 (ICAM-1) on lung cancer cells as part of their anti-invasive and antimetastatic action. Using lung cancer cell lines (A549, H460) and metastatic cells derived from a lung cancer patient, the present study addressed the impact of cannabinoid-induced ICAM-1 on cancer cell adhesion to lymphokine-activated killer (LAK) cells and LAK cell-mediated cytotoxicity. Cannabidiol (CBD), a non-psychoactive cannabinoid, enhanced the susceptibility of cancer cells to adhere to and subsequently be lysed by LAK cells, with both effects being reversed by a neutralizing ICAM-1 antibody. Increased cancer cell lysis by CBD was likewise abrogated when CBD-induced ICAM-1 expression was blocked by specific siRNA or by antagonists to cannabinoid receptors (CB1, CB2) and to transient receptor potential vanilloid 1. In addition, enhanced killing of CBD-treated cancer cells was reversed by preincubation of LAK cells with an antibody to lymphocyte function associated antigen-1 (LFA-1) suggesting intercellular ICAM-1/LFA-1 crosslink as crucial event within this process. ICAM-1-dependent pro-killing effects were further confirmed for the phytocannabinoid Δ9-tetrahydrocannabinol (THC) and R(+)-methanandamide (MA), a hydrolysis-stable endocannabinoid analogue. Finally, each cannabinoid elicited no significant increase of LAK cell-mediated lysis of non-tumor bronchial epithelial cells, BEAS-2B, associated with a far less pronounced (CBD, THC) or absent (MA) ICAM-1 induction as compared to cancer cells. Altogether, our data demonstrate cannabinoid-induced upregulation of ICAM-1 on lung cancer cells to be responsible for increased cancer cell lysis by LAK cells. These findings provide proof for a novel antitumorigenic mechanism of cannabinoids."
Lupus,https://en.wikipedia.org/wiki/Systemic_lupus_erythematosus,,,,,,x,https://www.whaxy.com/learn/does-cannabis-treat-lupus,"Cannabis is effective against lupus for several reasons. Many of the anti-inflammatory benefits it delivers are closely related to the relief gained by rheumatoid arthritis sufferers who medicate with the herb. Chiefly, marijuana is a very effective analgesic (pain killer) and anti-inflammatory agent. Because the inflammation associated with lupus can produce considerable pain in the hands and knees, cannabis can both treat the source of the symptom — the inflammation and swelling — while also decreasing one of the main symptoms — pain. Some lupus patients report gaining the most efficacy from their symptoms from strains and extracts of cannabis that are high in the non-psychoactive cannabinoid CBD (cannabidiol). Others claim relief from juicing the leaves of cannabis plants, with CBD-rich strains being indicated as more therapeutic. Most strains and concentrates of cannabis are extremely effective at dealing with the nausea experienced by some lupus patients. Those suffering from insomnia should consider smoking or vaporizing a potent indica before sleep."
Lyme Disease,https://en.wikipedia.org/wiki/Lyme_disease,,,,,,,http://reset.me/story/marijuana-the-super-antibiotic-of-the-future/,"“I was completely debilitated, I could not walk or talk and I was in a wheelchair being spoon-fed.” Shelley says in a YouTube video she posted in September of 2013 that chronicles her healing journey with cannabis oil. “I did antibiotics for over a year” she states, “They did not work for me they worked against me.” “I took a shot in the dark and started using cannabis oil and it worked,” she explains."
Malaria,https://en.wikipedia.org/wiki/Malaria,,,,,,x,https://www.whaxy.com/learn/can-cannabis-treat-malaria,"A recent study reveals that cannabis, or one of its constituent cannabinoids, cannabidiol (CBD), may be effective in preserving and even “rescuing” essential brain function in those who have suffered cerebral malaria. Research published in the journal Neuroscience in March of 2015 reveals that the neuroprotective properties of CBD helped prevent memory deficits and anxiety in laboratory mice. The study revealed that mice not treated with CBD following infection with malaria suffered from memory dysfunction, an increase in anxiety, and inflammation in the hippocampus and prefrontal cortex regions of the brain. Mice treated with CBD exhibited no memory deficits, an increase in a brain chemical that protects neurons, and a decrease of inflammation in the brain. Also revealed was the fact that the mice infected with malaria that were treated with CBD lived longer and regained full cognitive functionality — unlike the mice deprived of CBD. However, the study did note that motor function was not recovered in either the group fed CBD or the control group that received none."
Meniere's Disease,https://en.wikipedia.org/wiki/M%C3%A9ni%C3%A8re%27s_disease,,,,,,,http://www.mylifeandmenieresdisease.com/2009/12/stages-of-menieres-disease.html,"I have had Meniere's for three years now. Two years got I got my second attack, a friend who has medical marijuana for an unrelated condition gave me a joint to try for my nausea. It worked amazingly on the first puff, and within days of smoking just one hit a day I was back on my feet. Then fully functioning within two weeks. I now have my own prescription. I smoke every evening before bed and it keeps me going. I did stop smoking earlier this year because I felt completely fine. Then in about two weeks I was in full blown Meniere's again"
Migraines,https://en.wikipedia.org/wiki/Migraine,,,,,,,http://medicalxpress.com/news/2016-01-medical-marijuana-decreases-migraines.html,"Patients diagnosed with migraine headaches saw a significant drop in their frequency when treated with medical marijuana, according to a new study from researchers at the Skaggs School of Pharmacy and Pharmaceutical Sciences at the University of Colorado Anschutz Medical Campus. The study, published this week in the journal Pharmacotherapy, examined patients diagnosed with migraines and treated with medical marijuana between Jan. 2010 and Sept. 2014. It found the frequency of migraines dropped from 10.4 to 4.6 headaches per month, a number considered statistically and clinically significant."
Multiple Sclerosis,https://en.wikipedia.org/wiki/Multiple_sclerosis,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/24778283,"Cannabis can help multiple sclerosis patients manage the symptoms associated with their disease. Cannabis has shown to be effective at reducing pain, muscle stiffness and spasms in multiple sclerosis patients (Koppel, et al., 2014) (Wade, et al., 2004). In one study, multiple sclerosis patients saw significant improvements in muscle spasticity and reduced sleep disturbances after four weeks of cannabis treatment (Novotna, et al., 2011). A similar study found that multiple sclerosis patients experienced pain and sleep improvements after five weeks of treatment with cannabis containing both THC and CBD (Rog, Nurmikko, Friede & Young, 2005). In a questionnaire, multiple sclerosis patients responded that cannabis was effective in improving spasticity, chronic pain of extremities, tremors, emotional dysfunctions, fatigue, double vision, bowel and bladder dysfunctions, dysfunctions of walking and balance and memory loss (Consroe, et al., 1997). - See more at: http://medicalmarijuanainc.com/multiple-sclerosis-medical-marijuana-research/#sthash.qePAnGcD.dpuf"
Muscle Spasms,https://en.wikipedia.org/wiki/Spasm,,,,,,,http://jama.jamanetwork.com/article.aspx?articleid=2338251,"After reviewing 80 randomized trials that included nearly 6,500 people, researchers found moderate support for using marijuana to treat chronic pain and muscle spasms and involuntary movements."
Muscular Dystrophy,https://en.wikipedia.org/wiki/Muscular_dystrophy,,,,,,,http://www.medicann.com/conditions-and-diseases/medical-cannabis-and-muscular-dystrophy/,"Many patients with MD find medical cannabis to be extremely effective in treating their symptoms. Cannabis has medicinal properties that include pain relief, muscle relaxation, bronchodialation, saliva reduction, appetite stimulation, and sleep induction. These properties can be very beneficial in the treatment of MD. "
Nausea & Vomiting,https://en.wikipedia.org/wiki/Nausea,,,,,,,https://www.hellomd.com/health-wellness/marijuana-shows-promise-as-a-treatment-for-chemotherapy-induced-nausea,"Despite the FDA's approval of dronabinol and nabilone as treatment for chemotherapy-induced nausea and vomiting, research into the benefits that the actual marijuana plant can confer is progressing. Research commissioned by the Swiss Federal Office of Public Health, and published in the Journal of the American Medical Association in June 2015, supports using cannabinoids as a treatment for nausea from chemotherapy. Researchers analyzed data from 28 studies, and found that patients using cannabinoids were more likely to report reductions in nausea and vomiting than those given a placebo."
Neuropathic Pain,https://en.wikipedia.org/wiki/Neuropathic_pain,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/24420962,"A randomized, double-blind, placebo-controlled parallel group study published in this month’s issue of the European Journal of Pain, and published online early by the National Institute of Health, has found that cannabis can significantly reduce pain and improve sleep in those with neuropathic pain. These findings demonstrate that, in a meaningful proportion of otherwise treatment-resistant patients, clinically important improvements in pain, sleep quality and SGIC of the severity of their condition are obtained with THC/CBD spray. THC/CBD spray was well tolerated and no new safety concerns were identified."
Obesity,https://en.wikipedia.org/wiki/Obesity,,,,,,,http://extract.suntimes.com/information-resources/10/153/13112/thc-reduces-weight-gain-fat-mass-study-finds,"THC was administered to a group of lean mice and a group of diet-induced obese (DIO) mice, and researchers measured body weight, fat mass, energy intake, locomotor activity, whole gut transit and gut microbiota over the four-week study. Results showed that THC reduced weight gain, fat mass gain and energy intake in DIO mice, but not in lean mice."
OCD,https://en.wikipedia.org/wiki/Obsessive%E2%80%93compulsive_disorder,,,,,,,https://www.researchgate.net/publication/282595499_Chapter_15_Cannabinoids_and_obsessive-compulsive_disorder,"Obsessive-compulsive disorder (OCD) is a chronic and fluctuating neuropsychiatric condition characterized by intrusive thoughts (obsessions) and repetitive ritualistic behaviors (compulsions). Recent evidence suggests that endocannabinoids (eCBs) can play a role in this disorder. Cannabinoid receptors are significantly expressed in most parts of the main circuitry related to OCD, the cortico-striatal-thalamic circuitry, being able to modulate the release of key neurotransmitters such as glutamate, dopamine, GABA, and serotonin. Preclinical studies using the marble burying test show that enhancement of CB1 function by direct agonists or inhibitors of the enzymes responsible for the metabolism of eCBs (including the phytocannabinoid cannabidiol) presents anti-compulsive behavior activity."
Osteoarthritis,https://en.wikipedia.org/wiki/Osteoarthritis,,,,,,,http://www.zambeza.com/blog-cannabis-a-viable-treatment-for-osteoarthritis-n24,"A recent research paper published in the European Journal of Neuroscience has outlined how the use of cannabinoids (the active components in marijuana) can offer significant therapeutic qualities in the preclinical testing of osteoarthritis. The research found that the endocannabinoid system within our body appears to be ideal for treating pain, inflammation and joint function, making cannabis a potentially ideal treatment. In their words “The ubiquitous distribution of cannabinoid receptors, together with the physiological role of the endocannabinoid system in the regulation of pain, inflammation and even joint function further support the therapeutic interest of cannabinoids for osteoarthritis."
Osteoporosis,https://en.wikipedia.org/wiki/Osteoporosis,,,,,,,http://www.livescience.com/51701-marijuana-bones-healing-fractures.html,"According to the research, the administration of the non-psychotropic component cannabinoid cannabidiol (CBD) significantly helps heal bone fractures. The study, conducted on rats with mid-femoral fractures, found that CBD — even when isolated from tetrahydrocannabinol (THC), the major psychoactive component of cannabis — markedly enhanced the healing process of the femora after just eight weeks."
Interstitial Cycstitis ,https://en.wikipedia.org/wiki/Interstitial_cystitis,,,,,,,http://www.midwestcompassion.org/2015/05/19/treating-interstitial-cystitis-with-cannabis/,"A University of Pittsburgh study animal model study suggested that compounds in marijuana could have a beneficial effect on bladder tissue. In this study, a synthetic analog of a THC metabolite was used. THC is the active ingredient in marijuana. They found that the compound was able to reduce bladder sensitivity in the subjects significantly. The finding indicates that THC-related compounds can offer relief for bladder conditions that may be otherwise difficult to treat."
Pancreatic Cancer,https://en.wikipedia.org/wiki/Pancreatic_cancer,,,,,,,http://cancerres.aacrjournals.org/content/66/13/6748.abstract,"Pancreatic cancer is responsible for 7% of cancer-related deaths in America. Thankfully, a study published in 2006 by the American Association of Cancer Research found that cannabinoids went further than simply inhibiting growth as they did in other studies regarding other cancers. The research found that theadministration of cannabinoids “induced apoptosis.” This means that it enables the body to fight and effectively kill cancer cells in the pancreas. This is an important step towards to finding ways use cannabis to cure cancer entirely in some patients."
Parkinson's Disease,https://en.wikipedia.org/wiki/Parkinson%27s_disease,,,,,,,http://www.thcmag.com/parkinsons-disease-the-potential-of-cannabis-therapy/?age-verified=a4fee474b4,"In another notable study, which was conducted in March 2014, researchers at Tel Aviv University’s Rabin Medical Center in Israel demonstrated how 22 patients with Parkinson’s disease (13 men, 9 women), had their symptoms alleviated as a result of consuming medical marijuana. The researchers discovered that consuming marijuana resulted in significant improvements in the patients’ disease symptoms. Importantly, patients were seen to experience reduced tremors, rigidity, and dyskinesia. In addition, the researchers also observed that patients were able to get better sleep and showed improvement in terms of pain scores. Interestingly, the study did not report any significant adverse effects resulting from the use of the herb in treating Parkinson’s disease."
PMS,https://en.wikipedia.org/wiki/Premenstrual_syndrome,,,,,,,http://fusion.net/story/156908/how-marijuana-cannabis-help-women-pms-pmdd-pregnancy/,"How do physicians think the treatment works? Marijuana has been shown to generally relieve pain, and tetrahydrocannabinol (or THC), one of the active ingredients in cannabis, can decrease anxiety and nausea—all of which may temper the cramps, headaches, depression, and anxiety associated PMS and PMDD."
Prostate Cancer,https://en.wikipedia.org/wiki/Prostate_cancer,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/22594963,"Published in 2012 by the US National Library of Medicine, it took the research one step further and studied the interaction of cannabinoids and cancer cells in vivo, meaning inside of a living organism. They found that CBD, the non-psychoactive component of cannabis, inhibited the cancer from growing and becoming invasive."
PTSD,https://en.wikipedia.org/wiki/Posttraumatic_stress_disorder,,,,,,,https://www.researchgate.net/publication/228071411_Mitigation_of_post-traumatic_stress_symptoms_by_Cannabis_resin_A_review_of_the_clinical_and_neurobiological_evidence,"Multiple effects associated with cannabis resin appear to act synergistically to reduce some symptoms of PTSD and might offer potentials for new psychopharmacological treatments. Therefore, PTSD subjects may opt to self-medicate by using cannabis."
Schizophrenia,https://en.wikipedia.org/wiki/Schizophrenia,,,,,,,https://healthyhempoil.com/cannabidiol-schizophrenia/#.VqFYHSBViko,"CBD, a non-psychoactive component found in cannabis, contains anti-inflammatory and neuroprotective properties that can induce antipsychotic effects in patients. Cannabidiol has been argued to be as effective in treating schizophrenia as any traditional pharmaceutical drug. What is more, patients taking CBD do not suffer from the side effects of classical medicine, such as nausea and vomiting."
Sexual Dysfunction,https://en.wikipedia.org/wiki/Sexual_dysfunction,,,,,,,http://thejointblog.com/new-study-cannabis-can-prevent-erectile-dysfunction-high-cholesterol/,"An interesting new study published by the journal Clinicaland Developmental Immunology and the National Institute of Health has found that activation of the body’s cannabinoid receptors – something done naturally by cannabis – can actually reduce the risk of erectile dysfunction in those with hypercholesterolemia. According to the study’s researchers, hypercholesterolemia (which is the presence of high levels of cholesterol in the blood) is “one of the most important risk factors for erectile dysfunction, mostly due to the impairment of oxidative stress and endothelial function in the penis”. After studying the effects of cannabinoid receptor activation on mice with high cholesterol, researchers found that; “CB2 activation decreased histological features, which were associated with erectile dysfunction in hypercholesterolemic mice.”"
Skin Cancer,https://en.wikipedia.org/wiki/Skin_cancer,,,,,,,http://detroit.cbslocal.com/2011/08/29/skin-cancer-patient-says-oil-from-medical-marijuana-is-a-cure/,"WWJ’s Sandra McNeill spoke with Michael McShane who claims he’s been using a topical oil made from medical marijuana on the skin cancer on his forehead and in just over two months it’s nearly gone. “I’ve got biopsies, chart notes, photographs … in about three weeks I’m going to go back  and really wrap this part of the case up,” said McShane. “It’s made the same way a lot of the fragrances and perfumes are made, and the oil is applied, in my case, directly to the skin, and within 10 weeks my cancer is gone.”"
Sleep Disorders,https://en.wikipedia.org/wiki/Sleep_disorder,,,,,,,http://www.truthonpot.com/2013/03/30/using-medical-marijuana-for-insomnia/,"In addition to reducing the time it takes to fall asleep, studies show that marijuana can have a significant impact on the sleep cycle. In fact, marijuana increases stage 3 sleep and reduces REM stage sleep. Stage 3 sleep – also known as slow-wave sleep – is believed to be the most important stage for the sleep deprived. A lack of stage 3 sleep has been linked to high blood pressure in older men."
Spasticity,https://en.wikipedia.org/wiki/Spasticity,,,,,,,http://www.ukcia.org/research/medline/5d.htm,"Marijuana is reported to decrease spasticity in patients with multiple sclerosis. This is a double blind, placebo controlled, crossover clinical trial of delta-9-THC in 13 subjects with clinical multiple sclerosis and spasticity. Subjects received escalating doses of THC in the range of 2.5-15 mg., five days of THC and five days of placebo in randomized order, divided by a two-day washout period. Subjective ratings of spasticity and side effects were completed and semiquantitative neurological examinations were performed. At doses greater than 7.5 mg there was significant improvement in patient ratings of spasticity compared to placebo. These positive findings in a treatment failure population suggest a role for THC in the treatment of spasticity in multiple sclerosis."
Spinal Cord Injuries,https://en.wikipedia.org/wiki/Spinal_cord_injury,,,,,,,http://medicalmarijuanainc.com/spinal-cord-injuries-medical-marijuana-research/,"Cannabis and its cannabinoids have demonstrated that they can help limit the neurological damage if administered shortly after a spinal cord injury. Following trauma, a series of pathological events contribute to the spread of spinal cord damage and further provokes neurological losses (Arevalo-Martin, Garcia-Ovejero & Molina-Holgado, 2010). However, administering cannabinoids soon after the injury has been shown to reduce proinflammatory cytokines and delay neuronal atrophy and degeneration, thus preserving the white matter around injured area and protecting the myelin sheath that surrounds the cord (Latini, et al., 2014) (Arevalo-Martin, Garcia-Ovejero & Molina-Holgado, 2010). In one study, a reduction in swelling and a preservation of white matter and myelin were shown when cannabinoids were administered 20 minutes following a spinal cord injury (Arevalo-Martin, et al., 2012). In another, rats with spinal cord injuries saw improvements in locomotor functional recovery (Kwiatkoski, Guimaraes & Del-Bel, 2012). A third study found, in addition to an improvement in neurological function, saw a decrease in compression lesion volume (Hong, et al., 2015). - See more at: http://medicalmarijuanainc.com/spinal-cord-injuries-medical-marijuana-research/#sthash.lRz68SHE.dpuf"
Stress,https://en.wikipedia.org/wiki/Stress_(biology),,,,,,,http://www.idmu.co.uk/canstressdepres.htm,"Musty [xx] compared the effects of THC, CBD (cannabidiol) and diazepam (valium) on anxiety-related behaviours in mice. THC produced similar reductions in anxiety behaviours to diazepam, however the effect of CBD was more pronounced than either in measures of shock-avoidance, grooming and reduction of delerium tremens in alcohol-withdrawn mice. Both THC and CBD produced dose-related reductions in ulcer formation in stressed mice. However in all tests the CBD dosages used were higher than THC dosages."
Stroke,https://en.wikipedia.org/wiki/Stroke,,,,,,,http://www.truthonpot.com/2013/04/18/medical-marijuana-and-stroke/,"Besides reducing inflammation, cannabinoids are also believed to reduce brain damage by increasing the survival of neurons. Interestingly, research shows that levels of anandamide and 2-AG – cannabinoids produced naturally by the body – accumulate at an exponential rate in areas of the brain affected by stroke. These findings suggest that the endocannabinoid system may be a part of the body’s natural defense system against strokes."
Substance Abuse,https://en.wikipedia.org/wiki/Substance_abuse,,,,,,,http://www.alternet.org/drugs/medical-marijuana-cure-heroin-epidemic,"But research has shown that marijuana, while still criminalized at the federal level, can be effective as a substitute for treating opioid addicts and preventing overdoses. Massachusetts, which recently legalized medical marijuana – and where heroin overdoses have soared – could be a fertile testing ground for this potentially controversial treatment."
Tourette's Syndrome,https://en.wikipedia.org/wiki/Tourette_syndrome,,,,,,,http://www.cannabissearch.com/medical_benefits/tourettes-syndrome/,"A more recent, more comprehensive study took place in 2003. In that study, Tourette's Syndrome patients were given either THC or placebo for six weeks, and asked to track their daily tics. Patients taking THC showed a significant decrease in tics, with no adverse effects, or negative effects on verbal memory, recall, or learning abilities. In a paper published in the Journal of Clinical Psychiatry, the researchers' conclusion was that ""Therapy with delta-9 THC should be tried…"" at least for adult patients."
Traumatic Brain Injury,https://en.wikipedia.org/wiki/Traumatic_brain_injury,,,,,,,http://www.cannabis-med.org/studies/ww_en_db_study_show.php?s_id=532,"Traumatic brain injury (TBI) is associated with significant morbidity and mortality. Several studies have demonstrated neuroprotective effects of cannabinoids. The objective of this study was to establish a relationship between the presence of a positive toxicology screen for tetrahydrocannabinol (THC) and mortality after TBI. A 3-year retrospective review of registry data at a Level I center of patients sustaining TBI having a toxicology screen was performed. Pediatric patients (younger than 15 years) and patients with a suspected nonsurvivable injury were excluded. The THC(+) group was compared with the THC(-) group with respect to injury mechanism, severity, disposition, and mortality. Logistic regression was used to determine independent associations with mortality. There were 446 cases meeting all inclusion criteria. The incidence of a positive THC screen was 18.4 per cent (82). Overall mortality was 9.9 per cent (44); however, mortality in the THC(+) group (2.4% [two]) was significantly decreased compared with the THC(-) group (11.5% [42]; P = 0.012). After adjusting for differences between the study cohorts on logistic regression, a THC(+) screen was independently associated with survival after TBI (odds ratio, 0.224; 95% confidence interval, 0.051 to 0.991; P = 0.049). A positive THC screen is associated with decreased mortality in adult patients sustaining TBI."
